Maine December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196901,3.15,-0.15
196902,4.49,1.71
196903,2.54,-0.78
196904,3.05,-0.30
196905,3.09,-0.30
196906,3.49,-0.25
196907,4.71,0.92
196908,3.38,-0.13
196909,5.32,1.63
196910,1.64,-2.06
196911,7.00,3.11
196912,7.80,4.27
197001,0.70,-2.60
197002,4.87,2.09
197003,2.74,-0.58
197004,3.79,0.44
197005,3.89,0.50
197006,3.34,-0.40
197007,2.72,-1.07
197008,3.79,0.28
197009,3.58,-0.11
197010,4.64,0.94
197011,2.76,-1.13
197012,3.96,0.43
197101,2.09,-1.21
197102,4.39,1.61
197103,3.51,0.19
197104,1.92,-1.43
197105,3.49,0.10
197106,2.14,-1.60
197107,3.62,-0.17
197108,4.50,0.99
197109,3.03,-0.66
197110,2.90,-0.80
197111,3.30,-0.59
197112,2.73,-0.80
197201,2.01,-1.29
197202,3.73,0.95
197203,5.86,2.54
197204,2.39,-0.96
197205,2.83,-0.56
197206,5.92,2.18
197207,4.62,0.83
197208,2.82,-0.69
197209,4.04,0.35
197210,3.99,0.29
197211,4.65,0.76
197212,5.76,2.23
197301,3.51,0.21
197302,3.21,0.43
197303,2.91,-0.41
197304,5.79,2.44
197305,5.38,1.99
197306,4.32,0.58
197307,4.11,0.32
197308,4.77,1.26
197309,3.77,0.08
197310,3.38,-0.32
197311,3.23,-0.66
197312,9.04,5.51
197401,2.88,-0.42
197402,2.33,-0.45
197403,3.97,0.65
197404,4.88,1.53
197405,5.02,1.63
197406,3.79,0.05
197407,4.05,0.26
197408,2.92,-0.59
197409,4.32,0.63
197410,1.56,-2.14
197411,4.24,0.35
197412,2.98,-0.55
197501,3.31,0.01
197502,1.80,-0.98
197503,3.44,0.12
197504,2.59,-0.76
197505,2.15,-1.24
197506,4.23,0.49
197507,3.79,0.00
197508,2.26,-1.25
197509,4.30,0.61
197510,3.81,0.11
197511,4.76,0.87
197512,4.95,1.42
197601,4.32,1.02
