Washington December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198104,4.09,1.26
198105,2.89,0.64
198106,3.59,1.70
198107,1.11,0.21
198108,0.40,-0.62
198109,2.69,0.74
198110,4.98,1.32
198111,4.98,-1.13
198112,8.00,1.53
198201,7.57,1.51
198202,7.19,2.45
198203,4.01,-0.14
198204,3.69,0.86
198205,1.05,-1.20
198206,1.57,-0.32
198207,1.58,0.68
198208,1.06,0.04
198209,2.49,0.54
198210,4.61,0.95
198211,4.98,-1.13
198212,7.59,1.12
198301,7.71,1.65
198302,6.39,1.65
198303,6.38,2.23
198304,2.23,-0.60
198305,1.76,-0.49
198306,2.58,0.69
198307,3.09,2.19
198308,1.51,0.49
198309,2.15,0.20
198310,1.84,-1.82
198311,11.20,5.09
198312,4.99,-1.48
198401,5.70,-0.36
198402,4.37,-0.37
198403,4.81,0.66
198404,3.52,0.69
198405,4.31,2.06
198406,3.20,1.31
198407,0.20,-0.70
198408,0.65,-0.37
198409,2.09,0.14
198410,4.08,0.42
198411,9.01,2.90
198412,5.03,-1.44
198501,0.73,-5.33
198502,3.44,-1.30
198503,3.35,-0.80
198504,2.51,-0.32
198505,1.58,-0.67
198506,2.04,0.15
198507,0.20,-0.70
198508,0.84,-0.18
198509,2.76,0.81
198510,6.17,2.51
198511,4.59,-1.52
198512,1.78,-4.69
198601,7.38,1.32
198602,5.97,1.23
198603,3.54,-0.61
198604,2.66,-0.17
198605,2.68,0.43
198606,0.91,-0.98
198607,1.26,0.36
198608,0.21,-0.81
198609,3.09,1.14
198610,2.45,-1.21
198611,7.66,1.55
198612,3.82,-2.65
198701,5.57,-0.49
198702,3.15,-1.59
198703,5.39,1.24
198704,2.46,-0.37
198705,2.73,0.48
198706,0.89,-1.00
198707,1.47,0.57
198708,0.54,-0.48
198709,0.51,-1.44
198710,0.25,-3.41
198711,3.37,-2.74
198712,8.06,1.59
198801,4.32,-1.74
198802,2.43,-2.31
198803,5.52,1.37
198804,4.11,1.28
198805,3.08,0.83
198806,1.86,-0.03
198807,0.78,-0.12
198808,0.36,-0.66
198809,2.17,0.22
198810,2.38,-1.28
198811,8.75,2.64
198812,4.19,-2.28
198901,5.32,-0.74
198902,2.99,-1.75
198903,5.86,1.71
198904,2.89,0.06
198905,2.74,0.49
198906,1.02,-0.87
198907,0.82,-0.08
198908,1.60,0.58
198909,0.35,-1.60
198910,3.13,-0.53
198911,6.21,0.10
198912,3.63,-2.84
199001,9.18,3.12
199002,5.92,1.18
199003,2.80,-1.35
199004,2.89,0.06
199005,3.30,1.05
199006,2.82,0.93
199007,0.89,-0.01
199008,1.87,0.85
199009,0.21,-1.74
199010,6.15,2.49
199011,9.46,3.35
199012,5.42,-1.05
199101,4.67,-1.39
199102,5.15,0.41
199103,4.24,0.09
199104,4.60,1.77
199105,2.85,0.60
199106,2.48,0.59
199107,0.68,-0.22
199108,1.86,0.84
199109,0.23,-1.72
199110,1.65,-2.01
199111,7.60,1.49
199112,4.47,-2.00
199201,6.99,0.93
199202,3.76,-0.98
199203,1.09,-3.06
199204,4.24,1.41
199205,0.61,-1.64
199206,2.09,0.20
199207,1.76,0.86
199208,0.80,-0.22
199209,2.15,0.20
199210,2.45,-1.21
199211,6.07,-0.04
199212,5.12,-1.35
199301,4.09,-1.97
199302,0.84,-3.90
199303,4.05,-0.10
199304,5.15,2.32
199305,3.04,0.79
199306,2.80,0.91
199307,2.59,1.69
199308,0.86,-0.16
199309,0.34,-1.61
199310,1.71,-1.95
199311,2.35,-3.76
199312,5.86,-0.61
199401,4.15,-1.91
199402,5.28,0.54
199403,3.28,-0.87
199404,2.88,0.05
199405,2.06,-0.19
199406,2.12,0.23
199407,0.53,-0.37
199408,0.42,-0.60
199409,1.37,-0.58
199410,5.49,1.83
199411,7.19,1.08
199412,7.74,1.27
199501,6.40,0.34
199502,4.76,0.02
199503,5.16,1.01
199504,3.05,0.22
199505,1.53,-0.72
199506,2.15,0.26
199507,1.30,0.40
199508,1.63,0.61
199509,1.93,-0.02
199510,4.99,1.33
199511,11.13,5.02
199512,7.05,0.58
199601,6.90,0.84
199602,7.71,2.97
199603,2.22,-1.93
199604,5.58,2.75
199605,3.50,1.25
199606,1.15,-0.74
199607,0.72,-0.18
199608,0.63,-0.39
199609,2.12,0.17
199610,5.84,2.18
199611,6.95,0.84
199612,11.63,5.16
199701,7.47,1.41
199702,3.71,-1.03
199703,8.24,4.09
199704,3.98,1.15
199705,2.75,0.50
199706,2.90,1.01
199707,1.68,0.78
199708,1.09,0.07
199709,3.88,1.93
199710,6.77,3.11
199711,4.34,-1.77
199712,4.26,-2.21
199801,8.21,2.15
199802,4.64,-0.10
